Stato,Abbreviazione,Somma di Popolazione,Capitali.Capitale
Alabama,Ala.,5024279,Montgomery
Alaska,Alaska,733391,Juneau
Arizona,Ariz.,7151502,Phoenix
Arkansas,Ark.,3011524,Little Rock
California,Calif.,39538223,Sacramento
Carolina del Nord,N.C.,10439388,Raleigh
Carolina del Sud,S.C.,5118425,Columbia
Colorado,Colo.,5773714,Denver
Connecticut,Conn.,3605944,Hartford
Dakota del Nord,N. Dak.,779094,Bismarck
Dakota del Sud,S. Dak.,886667,Pierre
Delaware,Del.,989948,Dover
Distretto di Columbia,D.C.,689545,Washington (DC)
Florida,Fla.,21538187,Tallahassee
Georgia,Ga.,10711908,Atlanta
Hawaii,Hawaii,1455271,Honolulu
Idaho,Idaho,1839106,Boise
Illinois,Ill.,12812508,Springfield
Indiana,Ind.,6785528,Indianapolis
Iowa,Iowa,3190369,Des Moines
Kansas,Kans.,2937880,Topeka
Kentucky,Ky.,4505836,Frankfort
Louisiana,La.,4657757,Baton Rouge
Maine,Maine,1362359,Augusta
Maryland,Md.,6177224,Annapolis
Massachusetts,Mass.,7029917,Boston
Michigan,Mich.,10077331,Lansing
Minnesota,Minn.,5706494,Saint Paul
Mississippi,Miss.,2961279,Jackson
Missouri,Mo.,6154913,Jefferson City
Montana,Mont.,1084225,Helena
Nebraska,Nebr.,1961504,Lincoln
Nevada,Nev.,3104614,Carson City
New Hampshire,N.H.,1377529,Concord
New Jersey,N.J.,9288994,Trenton
New York,N.Y.,20201249,Albany
Nuovo Messico,N. Mex.,2117522,Santa Fe
Ohio,Ohio,11799448,Columbus
Oklahoma,Okla.,3959353,Oklahoma City
Oregon,Oreg.,4237256,Salem
Pennsylvania,Pa.,13002700,Harrisburg
Rhode Island,R.I.,1097379,Providence
Tennessee,Tenn.,6910840,Nashville
Texas,Tex.,29145505,Austin
Utah,Utah,3271616,Salt Lake City
Vermont,Vt.,643077,Montpelier
Virginia,Va.,8631393,Richmond
Virginia Occidentale,W. Va.,1793716,Charleston
Washington,Wash.,7705281,Olympia
Wisconsin,Wis.,5893718,Madison
Wyoming,Wyo.,576851,Cheyenne
